cvegeo,cve_agee,cve_agem,nom_agem,cve_cab,pob,pob_fem,pob_mas,viv,nom_cab,pobreza,median_ntl,mean_ntl,max_ntl,min_ntl,median_sum_ntl,log_median_ntl,log_mean_ntl,z_median_ntl,scale_median_ntl,log_max,log_min,log_sum
1008,"01","008",San José de Gracia,"0001","9552","5020","4532","2381",,96,0.5,0.991292392300642,147,0.5,2144.5,-0.693147180559945,-0.00874574043995738,-1.25802352660835,-1.75661615220892,4.99043258677874,-0.693147180559945,7.67066170395694
1009,"01","009",Tepezalá,"0001","22485","11371","11114","5425",,170,3.5,6.65670367207515,183.5,1,6625,1.25276296849537,1.89562441789416,1.74197647339165,-1.74817190581232,5.21221466749463,0,8.79860565085442
1010,"01","010",El Llano,"0001","20853","10407","10446","5211",,77,1.5,3.60291262135922,109.5,1.5,5416.5,0.405465108108164,1.28174257983692,-0.258023526608352,-1.75380140341005,4.69592454925656,0.405465108108164,8.59720512938562
1011,"01","011",San Francisco de los Romo,"0001","61997","31292","30705","16391",,691,9,30.968882602546,313,2,20483,2.19722457733622,3.43298291333893,7.24197647339165,-1.73269078741856,5.74620319054015,0.693147180559945,9.92735055280066
1001,"01","001",Aguascalientes,"0001","948990","486917","462073","266942",Aguascalientes,5305,6,32.9614994934144,622,2.5,180395.5,1.79175946922805,3.49534019834546,4.24197647339165,-1.74113503381516,6.43294009273918,0.916290731874155,12.1029069417319
1002,"01","002",Asientos,"0001","51536","26275","25261","12544",,468,3,6.34078615218175,101,3,9267,1.09861228866811,1.84700275952876,1.24197647339165,-1.74957928021175,4.61512051684126,1.09861228866811,9.13421498158669
1003,"01","003",Calvillo,"0001","58250","29687","28563","15556",,571,3.5,5.35553191489362,163.5,3.5,8724.5,1.25276296849537,1.67813002947911,1.74197647339165,-1.74817190581232,5.09681299033731,1.25276296849537,9.07389043883829
1004,"01","004",Cosío,"0001","17000","8708","8292","3938",,98,4,8.88514548238897,150,4,3194,1.38629436111989,2.18438083540492,2.24197647339165,-1.74676453141289,5.01063529409626,1.38629436111989,8.06902932877496
1005,"01","005",Jesús María,"0001","129929","65710","64219","33229",,1202,4.5,16.3915094339623,275,4.5,30256.5,1.50407739677627,2.79676348332688,2.74197647339165,-1.74535715701345,5.61677109766657,1.50407739677627,10.3174663164095
1006,"01","006",Pabellón de Arteaga,"0001","47646","24269","23377","11470",,614,9,15.5342741935484,260.5,5,10455,2.19722457733622,2.74304882102929,7.24197647339165,-1.73269078741856,5.56260286119342,1.6094379124341,9.25483561186273
1007,"01","007",Rincón de Romos,"0001","57369","29268","28101","13584",,748,5.5,11.8211467648606,293,5.5,12022,1.70474809223843,2.46989002629565,3.74197647339165,-1.74254240821459,5.68017260901707,1.70474809223843,9.39449358359911
2002,"02","002",Mexicali,"0001","1049792","520544","529248","330500",,4590,6,14.0270479275083,32773.5,6,441156.5,1.79175946922805,2.6409874605356,4.24197647339165,-1.74113503381516,10.3973755409942,1.79175946922805,12.9971549667591
2004,"02","004",Tijuana,"0001","1922523","953783","968740","577011",,4606,11,52.2327702702703,819,6.5,270744.5,2.39789527279837,3.95571008087068,9.24197647339165,-1.72706128982083,6.70808408385307,1.87180217690159,12.5089308507142
2001,"02","001",Ensenada,"0001","443807","222500","221307","139968",Asientos,3057,7,8.3236386472908,688,7,98014.5,1.94591014905531,2.11909949664374,5.24197647339165,-1.73832028501629,6.53378883793334,1.94591014905531,11.4928707058915
2007,"02","007",San Felipe,"0001",,,,,San Felipe,,7.5,25.7741046601226,32775,7.5,1090935,2.01490302054226,3.24937029254402,5.74197647339165,-1.73691291061686,10.3974213086319,2.01490302054226,13.9025456846719
2006,"02","006",San Quintín,"0001","117568","57790","59778","32773",,,8,18.1262844219623,32775.5,8,1853715.5,2.07944154167984,2.89736306288995,6.24197647339165,-1.73550553621742,10.3974365640457,2.07944154167984,14.4327025613373
